dialogue_id,turn_idx,perspective,accept_eligible_match,accept_eligible_mismatch,accept_eligible,lambda_match,lambda_mismatch,accept_pred_match,accept_pred_mismatch,accept_gold,lambda_changed,accept_pred_changed
1,1,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
1,3,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
1,5,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
1,7,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
1,9,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
1,11,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
1009,1,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
1009,3,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
1009,5,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
1009,7,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
1009,9,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
1009,11,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
1017,0,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
1017,2,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
1017,4,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
1017,6,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
1017,8,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
1017,10,mturk_agent_1,False,False,False,1.0,2.0,,,False,True,False
1025,0,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
1025,2,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
1025,4,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
1025,6,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
1025,8,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
1025,10,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
1025,12,mturk_agent_1,True,True,True,1.0,2.0,True,True,True,True,False
113,1,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
113,3,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
113,5,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
113,7,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
113,9,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
113,11,mturk_agent_1,True,True,True,1.0,2.0,True,True,True,True,False
116,0,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
116,2,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
116,4,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
116,6,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
116,8,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
116,10,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
121,0,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
121,2,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
121,4,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
121,6,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
121,8,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
121,10,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
138,0,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
138,2,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
138,4,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
138,6,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
138,8,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
138,10,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
149,0,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
149,2,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
149,4,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
149,6,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
149,8,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
149,10,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
150,0,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
150,2,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
150,4,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
150,6,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
150,8,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
150,10,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
16,0,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
16,2,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
16,4,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
16,6,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
16,8,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
16,10,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
16,12,mturk_agent_1,True,True,True,2.0,1.0,True,True,True,True,False
177,1,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
177,3,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
177,5,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
177,7,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
177,9,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
177,11,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
18,0,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
18,2,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
18,4,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
18,6,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
18,8,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
18,10,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
18,12,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
18,14,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
18,16,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
18,18,mturk_agent_1,True,True,True,2.0,1.0,True,True,True,True,False
184,0,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
184,2,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
184,4,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
184,6,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
184,8,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
184,10,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
185,0,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
185,2,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
185,4,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
185,6,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
185,8,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
185,10,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
188,1,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
188,3,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
188,5,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
188,7,mturk_agent_1,True,True,True,1.0,2.0,True,True,True,True,False
189,0,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
189,2,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
189,4,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
189,6,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
189,8,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
189,10,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
192,1,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
192,3,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
192,5,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
192,7,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
192,9,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
192,11,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
193,1,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
193,3,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
193,5,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
193,7,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
193,9,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
193,11,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
193,13,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
193,15,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
193,17,mturk_agent_1,True,True,True,2.0,1.0,True,True,True,True,False
195,1,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
195,3,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
195,5,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
195,7,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
195,9,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
195,11,mturk_agent_1,True,True,True,2.0,1.0,True,True,True,True,False
198,1,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
198,3,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
198,5,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
198,7,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
198,9,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
198,11,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
198,13,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
198,15,mturk_agent_1,False,False,False,2.0,1.0,,,,True,False
202,0,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
202,2,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
202,4,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
202,6,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
202,8,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
202,10,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
202,12,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
202,14,mturk_agent_1,True,True,True,1.0,2.0,True,True,True,True,False
210,1,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
210,3,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
210,5,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
210,7,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
210,9,mturk_agent_1,False,False,False,1.0,2.0,,,,True,False
210,11,mturk_agent_1,True,True,True,1.0,2.0,True,True,True,True,False
